Code Ouvrage,Référence ouvrage,Métier,Prestation,Type de Toit,Nom de l'ouvrage,Chapitre de l'ouvrage (Dépose/Préparation du Support/ Pose ….),Texte de la ligne/ Texte commercial (rtf),Texte de la ligne/ Texte commercial (converti),Commentaire Technique/ Texte Chargé d'affaires (rtf),Commentaire Technique/ Texte Chargé d'affaires (converti),Unité de l'ouvrage,Code Article,Référence article,Désignation matériaux,Unité Article,Qté,Prix d'achat
2,AB30987,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Membrane PVC,Pose,"Préparation du support comprenant enlèvement des déchets et assèchement. Fourniture, façonnage et pose d'un chéneau en membrane PVC compris encollage et fixation en tête des relevés de la membrane par bande serrage. ","Préparation du support comprenant enlèvement des déchets et assèchement. Fourniture, façonnage et pose d'un chéneau en membrane PVC compris encollage et fixation en tête des relevés de la membrane par bande serrage.",,,ml,,,,,0,0
2,AB30987,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Membrane PVC,,,,"Préparation du support comprenant enlèvement des déchets et assèchement. Fourniture, façonnage et pose d'un chéneau en membrane PVC compris encollage par Flexocol A89 0,70Kg/m², membrane Flagon SFc 15/10 en adhérence totale et fixation en tête des relevés de la membrane par bande serrage Flagorail fixée mécaniquement. ","Préparation du support comprenant enlèvement des déchets et assèchement. Fourniture, façonnage et pose d'un chéneau en membrane PVC compris encollage par Flexocol A89 0,70Kg/m², membrane Flagon SFc 15/10 en adhérence totale et fixation en tête des relevés de la membrane par bande serrage Flagorail fixée mécaniquement.",,,,,,0,0
2,AB30987,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Membrane PVC,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,1.15,126.5
2,AB30987,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Membrane PVC,,,,,,,23222,R21100101,Etanchéité monocouche PVC nettoyant soudure Flagon PVC cleaner bidon de 3 litres,l,0.2,3.386
2,AB30987,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Membrane PVC,,,,,,,23175,R21010301,"Etanchéité monocouche PVC membrane Flagon SFc 15/10 en adhérence totale rouleau de 20,00mx1,60m",m²,1,11.4
2,AB30987,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Membrane PVC,,,,,,,23180,R21020301,"Etanchéité mono PVC colle Flexocol A89 pour support maçonnerie et bois 0,7kg/m2 bidon de 12kg",kg,0.3,5.49
2,AB30987,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Membrane PVC,,,,,,,23201,R21060101,Etanchéité mono PVC rail de fixation type Flagorail long 3ml,ml,1,4.6
2,AB30987,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Membrane PVC,,,,,,,3138,R104252,VINYTEC VIS TETE TORX 4X30 NATUREL - CARTON DE 500,u,5,0.6
3,AB30988,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Résine,Pose,Réalisation d'un chemisage en résine bicouche avec voile de renfort compris préparation du support et toutes sujétions. ,Réalisation d'un chemisage en résine bicouche avec voile de renfort compris préparation du support et toutes sujétions.,,,ml,,,,,0,0
3,AB30988,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Résine,,,,"Réalisation de chemisage en résine bicouche sur chéneau acier comprenant décapage du support par TRIFLEX NETTOYANT 0,20l/m2, mise en place résine TRIFLEX PRODETAIL 3kg/m2 bicouche avec interposition d'un voile de renfort TRIFLEX. ","Réalisation de chemisage en résine bicouche sur chéneau acier comprenant décapage du support par TRIFLEX NETTOYANT 0,20l/m2, mise en place résine TRIFLEX PRODETAIL 3kg/m2 bicouche avec interposition d'un voile de renfort TRIFLEX.",,,,,,0,0
3,AB30988,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Résine,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,0.75,82.5
3,AB30988,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Résine,,,,,,,14248,R119828,GANTS DE TRAVAIL AVEC PAUME EN NITRILE NOIR/GRIS (PROTECTION NIV 3) TAILLE 10,u,1,4.33
3,AB30988,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Résine,,,,,,,24284,R27472,CHIFFONS                     1KG,forfa,1,0.25
3,AB30988,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Résine,,,,,,,260,26200-025,Triflex Metal Primaire,l,0.4,15.136
